"","account_length","international_plan","voice_mail_plan","number.vmail.messages","total_day_calls","total_day_charge","total_eve_calls","total_eve_charge","total_night_calls","total_night_charge","total_intl_calls","total_intl_charge","customer_service_calls","churn"
"86",128,"no","yes",29,104,30.48,86,19.2,78,14.54,7,2.32,0,"FALSE"
"87",94,"no","no",0,105,26.84,101,13.18,84,8.53,5,2.16,4,"TRUE"
"88",111,"no","no",0,118,36.43,76,17.72,98,8.21,2,3.24,1,"FALSE"
"89",74,"no","yes",35,104,26.2,84,10.49,57,9.09,9,2.94,2,"FALSE"
"91",82,"no","no",0,61,24.46,105,16.57,94,4.93,2,3,1,"FALSE"
"93",80,"no","no",0,100,21.13,107,14.71,62,11.39,9,2.13,1,"FALSE"
"94",78,"no","no",0,93,42.99,112,15.16,105,11.88,7,2.57,3,"FALSE"
"95",90,"no","no",0,71,30.45,81,16.2,91,5.75,7,2.86,3,"FALSE"
"96",104,"no","no",0,106,47.33,113,6.89,137,7.34,5,2.65,1,"FALSE"
"97",73,"no","no",0,110,27.22,72,18.13,72,7.83,4,3.51,0,"FALSE"
"98",99,"no","no",0,87,33.69,76,17.62,113,8.59,3,2.35,4,"FALSE"
"99",120,"no","no",0,131,36.06,104,17.8,96,7.52,5,1.43,1,"TRUE"
"102",108,"no","no",0,137,30.31,76,16.07,102,5.81,5,3.94,0,"FALSE"
"103",135,"no","no",0,82,25.79,105,10.12,100,8.1,6,2.84,0,"FALSE"
"104",95,"no","no",0,99,22.95,106,15.61,102,11.04,9,3.38,1,"FALSE"
"105",122,"no","no",0,94,28.99,109,14.76,75,11.19,2,3.05,1,"FALSE"
"106",95,"no","no",0,65,40.48,98,15.91,115,8.55,4,3.19,4,"FALSE"
"107",36,"no","yes",29,102,47.84,76,17.19,113,8.42,6,2.43,2,"FALSE"
"108",93,"no","yes",21,131,20.04,115,13.98,86,9.76,3,2.65,1,"FALSE"
"109",141,"no","yes",32,91,25.26,97,11.14,142,9.87,1,2.73,1,"FALSE"
"110",157,"no","no",0,90,39.07,121,12.57,108,10.86,7,2.59,3,"FALSE"
"111",120,"no","no",0,100,28.05,83,26.96,86,5.36,8,2.24,1,"FALSE"
"112",103,"no","no",0,117,31.45,94,18.98,91,10.03,2,3.4,2,"FALSE"
"113",98,"no","no",0,117,27.37,113,16.23,113,10.25,4,3.27,4,"FALSE"
"114",125,"no","no",0,108,21.54,90,17.51,114,11.15,7,3.59,1,"FALSE"
"115",63,"no","no",0,125,10.01,59,14.42,88,9.51,3,2.54,1,"FALSE"
"116",36,"yes","yes",42,89,33.46,122,21.67,126,6.22,6,5.4,0,"TRUE"
"117",64,"no","no",0,83,27.64,109,12.95,122,2.59,3,3.83,1,"FALSE"
"118",74,"no","no",0,114,48.03,48,18.69,115,7.65,4,2.54,1,"TRUE"
"119",112,"no","yes",36,117,19.33,82,13.39,118,7.99,3,2.7,2,"FALSE"
"120",97,"no","no",0,125,40.77,111,18.26,81,6.45,5,2.35,2,"FALSE"
"121",46,"no","no",0,92,35.73,77,19.32,116,9,7,3.54,1,"FALSE"
"122",41,"no","yes",22,102,36.35,86,12.05,123,6.4,3,1.94,0,"FALSE"
"123",121,"no","no",0,103,32.42,117,15.6,103,9.94,4,2.65,3,"FALSE"
"124",193,"no","no",0,124,29.05,95,11.25,89,5.08,3,3.13,1,"FALSE"
"125",130,"no","no",0,119,26.21,98,9.37,117,10.23,5,2.48,2,"FALSE"
"126",85,"no","no",0,52,34.24,104,19.5,106,11.36,3,3.24,1,"FALSE"
"127",162,"no","no",0,108,12.02,87,13.39,82,6.97,3,2.46,4,"TRUE"
"128",61,"no","yes",27,124,31.88,103,12.46,129,10.16,6,1.73,4,"TRUE"
"129",92,"no","no",0,90,15.59,123,16.46,86,7.88,4,2.48,2,"FALSE"
"130",131,"no","yes",36,115,36.41,117,13.74,102,11.91,4,2.57,3,"FALSE"
"131",90,"no","no",0,92,24.74,114,18.5,123,6.61,2,2.94,3,"FALSE"
"132",75,"no","no",0,125,28.27,86,13.45,80,11.55,5,1.65,1,"FALSE"
"133",78,"no","no",0,115,39.27,140,19.58,120,11.76,3,2.57,1,"FALSE"
"134",82,"no","no",0,96,34.05,102,17.1,60,9.27,1,1.92,4,"FALSE"
"135",163,"no","no",0,109,33.49,128,17.22,80,9.29,10,2.46,1,"FALSE"
"136",91,"yes","no",0,112,22.08,83,14.73,130,11.12,3,3.02,3,"FALSE"
"137",75,"no","yes",21,97,29.89,106,18.49,134,10.69,4,1.43,5,"FALSE"
"138",91,"no","no",0,106,34.53,113,17.86,129,8.8,3,3.24,3,"FALSE"
"139",127,"no","yes",36,117,31.14,76,10.78,71,11.85,8,3.02,1,"FALSE"
"140",113,"no","yes",23,101,34.85,60,12.92,59,7.14,5,2.75,2,"FALSE"
"141",110,"no","no",0,115,25.25,84,23.49,112,8.71,3,3.35,1,"FALSE"
"142",120,"no","yes",39,68,34.05,97,18.73,116,11.42,4,2.84,0,"FALSE"
"143",157,"no","yes",28,107,32.74,74,16.62,139,4.94,5,1.84,3,"FALSE"
"144",103,"no","no",0,47,41.91,84,16.62,96,9.02,4,3.16,1,"FALSE"
"145",117,"yes","no",0,86,28.41,87,15.09,132,11.22,7,3.81,2,"TRUE"
"146",140,"no","no",0,101,39.42,94,13.61,98,4.97,6,3.86,3,"FALSE"
"147",127,"no","no",0,91,24.94,78,17.3,110,9.15,3,3.7,1,"FALSE"
"148",83,"yes","no",0,87,46.16,126,18.39,105,5.45,4,3.16,1,"FALSE"
"149",121,"no","no",0,121,30.86,98,18.56,103,7.27,5,2.3,1,"FALSE"
"150",145,"no","yes",43,97,43.81,95,13.78,86,12.91,4,3,2,"FALSE"
"151",113,"no","no",0,99,32.95,125,18.82,67,7.75,6,2.86,1,"FALSE"
"152",117,"no","no",0,119,17.48,91,17.57,105,13.46,7,2.73,1,"FALSE"
"153",65,"no","no",0,116,31.94,117,13.4,86,10.23,6,2.03,1,"FALSE"
"154",56,"no","no",0,112,38.42,118,21.12,142,6.32,11,1.86,1,"FALSE"
"155",96,"no","no",0,115,44.27,46,12.41,87,12.13,4,3.11,5,"FALSE"
"156",151,"no","no",0,116,30.38,138,24.83,101,11.97,4,2.65,0,"FALSE"
"157",83,"no","no",0,120,57.36,116,19.33,114,6.93,7,4.27,0,"TRUE"
"158",139,"no","yes",23,129,26.79,96,21,112,11.66,2,3.7,0,"FALSE"
"159",6,"no","no",0,117,31.21,72,21.82,79,8.04,2,2.75,1,"FALSE"
"160",115,"no","yes",24,124,24.16,129,15.59,114,7.42,4,2.59,1,"FALSE"
"161",87,"no","no",0,97,23.17,108,14.64,101,6.19,5,1.92,0,"FALSE"
"162",141,"no","no",0,110,36.91,111,20.53,103,11.41,6,3.24,0,"FALSE"
"163",141,"no","yes",36,99,31.88,116,20.52,105,10.33,5,2.84,3,"FALSE"
"164",62,"no","no",0,103,16.81,122,11.51,82,10.65,1,3.29,1,"FALSE"
"165",146,"no","no",0,151,35.07,89,12.63,91,7.52,3,1.65,1,"FALSE"
"166",92,"no","yes",33,92,41.33,92,18.17,104,10.29,2,3.27,2,"FALSE"
"167",185,"no","yes",31,126,32.27,133,13.88,126,11.92,3,2.03,1,"FALSE"
"168",148,"no","no",0,102,34.34,128,20.67,90,11.76,3,2.94,1,"FALSE"
"169",94,"no","yes",38,124,28.92,116,16.43,73,4.77,4,3.46,1,"FALSE"
"170",32,"no","no",0,87,39.25,90,15.93,53,6.93,2,1.7,0,"FALSE"
"171",68,"no","no",0,105,40.31,105,19,79,4.38,2,3.56,1,"FALSE"
"172",64,"no","yes",27,91,30.96,98,14.42,86,7.41,5,2.86,2,"FALSE"
"173",25,"no","no",0,87,20.28,101,17.98,86,12.1,4,2.84,3,"FALSE"
"174",65,"no","no",0,87,19.86,93,15.21,150,8.21,2,3.81,1,"FALSE"
"175",179,"no","no",0,92,37.26,125,12.7,104,11.01,5,1.65,0,"FALSE"
"176",94,"no","no",0,104,42.94,125,14.37,106,7.69,7,3,2,"FALSE"
"177",62,"no","no",0,91,25.01,107,16.18,115,8.78,3,3.29,0,"FALSE"
"178",127,"no","no",0,103,34.36,86,19.5,113,8.78,3,3.11,2,"FALSE"
"179",116,"no","no",0,93,29.5,76,16.5,112,9.36,10,4.37,3,"FALSE"
"180",70,"no","no",0,122,39.46,112,24.85,112,9.05,0,0,3,"FALSE"
"181",94,"yes","yes",23,125,33.51,136,18.23,103,12.7,5,2.57,4,"FALSE"
"182",126,"no","no",0,94,9.89,118,11.79,91,6.16,1,3.21,5,"TRUE"
"183",67,"no","yes",36,111,19.65,94,20.2,103,7.65,12,2.67,2,"FALSE"
"184",19,"no","no",0,98,31.64,57,21.62,127,9.63,7,3.94,2,"FALSE"
"185",170,"yes","no",0,68,44.18,122,20.83,121,6.05,3,2.27,3,"FALSE"
"186",73,"no","no",0,145,36.43,135,22.82,92,10.85,13,2.92,1,"FALSE"
"187",106,"no","no",0,74,26.98,139,5.47,103,8.93,4,2.75,1,"FALSE"
"188",93,"no","no",0,71,46.17,108,19.5,121,3.48,3,2.94,2,"FALSE"
"189",164,"no","no",0,111,27.3,126,13.87,112,8.42,3,2.43,1,"FALSE"
"190",51,"no","no",0,109,39.51,95,15.93,107,10.4,3,2.46,1,"FALSE"
"191",107,"no","no",0,85,22.75,94,15.34,115,5.05,4,2.4,0,"FALSE"
"192",130,"no","no",0,109,30.07,104,7.71,69,10.71,2,2.57,1,"FALSE"
"193",80,"no","no",0,74,35.68,77,16.58,119,9.37,4,2.38,2,"FALSE"
"194",94,"no","no",0,118,23.38,88,17.27,131,6.75,2,3.62,0,"FALSE"
"195",118,"no","yes",23,52,49.22,111,14.16,88,5.36,4,2.57,1,"FALSE"
"196",117,"no","yes",23,86,33.68,86,15.05,92,8.12,6,1.84,1,"FALSE"
"197",78,"no","no",0,119,25.45,115,15.49,126,11.77,8,2.62,0,"FALSE"
"198",208,"no","no",0,67,55.51,113,14.99,102,8.18,6,2.89,2,"TRUE"
"199",131,"yes","yes",26,101,49.79,97,16.97,127,11.49,7,3.73,4,"TRUE"
"200",63,"no","no",0,64,14.11,106,15.05,89,11.06,3,3.51,0,"FALSE"
"201",53,"no","yes",24,146,24.77,136,18.74,96,11.25,5,3.54,3,"FALSE"
"202",62,"no","no",0,101,30.99,93,27.9,131,11.03,1,3.02,2,"FALSE"
"203",97,"no","no",0,86,37.06,94,15.64,110,10.82,8,1.73,3,"FALSE"
"204",105,"no","no",0,109,23.9,51,15.18,83,9.76,3,1.84,2,"FALSE"
"205",157,"no","no",0,105,25.96,80,21.89,93,8.91,4,2.54,1,"FALSE"
"206",66,"no","yes",36,76,18.14,77,17.83,117,8.57,2,3.27,1,"FALSE"
"207",122,"no","no",0,98,41.45,72,7.13,84,8.09,8,3.7,2,"FALSE"
"208",38,"no","no",0,94,33.05,95,15.87,90,10.05,5,2.92,3,"FALSE"
"209",106,"no","no",0,95,36.36,70,12.91,124,11.7,5,3.29,3,"FALSE"
"210",99,"no","no",0,112,36.92,89,20.97,89,10.17,7,4.27,3,"FALSE"
"211",99,"no","no",0,72,40.99,98,13.23,109,8.47,10,3.13,1,"FALSE"
"212",144,"yes","no",0,100,34.6,103,21.05,94,8.74,11,3.21,0,"FALSE"
"213",82,"no","yes",24,131,26.38,106,20.78,68,5.51,3,2.89,1,"FALSE"
"214",86,"no","yes",31,139,28.49,118,9.61,121,11.11,6,3.29,1,"FALSE"
"215",70,"yes","no",0,98,38.54,115,19.39,93,3.29,4,4.75,2,"TRUE"
"216",93,"no","no",0,93,30.48,98,15.18,131,10.13,6,3.11,3,"FALSE"
"217",93,"no","no",0,89,25.74,76,15.84,120,7.76,3,2.94,0,"FALSE"
"218",120,"no","no",0,80,30.6,82,19.06,91,11.94,7,1.27,3,"FALSE"
"219",136,"no","no",0,121,42.53,118,22.7,114,6.8,2,3.51,1,"TRUE"
"220",106,"no","no",0,121,37.91,98,9.36,107,8.49,12,1.92,0,"FALSE"
"221",81,"no","no",0,116,31.21,98,12.97,99,9.55,6,3.29,3,"FALSE"
"222",127,"no","yes",22,114,28.22,103,14.83,68,11.02,6,2.75,1,"FALSE"
"223",65,"no","no",0,112,23.14,96,23.2,104,9.91,2,1.19,1,"FALSE"
"224",35,"no","no",0,113,25.38,122,20.59,104,7.84,6,2.4,2,"FALSE"
"225",88,"no","no",0,97,11.12,76,14.3,113,10.62,1,3.73,2,"FALSE"
"226",65,"no","no",0,111,36.28,94,19.93,123,11.25,4,0.73,1,"FALSE"
"227",123,"no","no",0,85,35.17,78,20.8,136,9.97,2,2.08,3,"FALSE"
"228",126,"no","yes",27,78,31.65,83,16.12,139,3.44,3,2.59,2,"FALSE"
"229",104,"no","yes",23,136,47.63,92,18.74,102,6.16,3,3.59,4,"FALSE"
"230",45,"no","yes",22,84,33.42,92,26.62,108,7.35,3,3.21,0,"FALSE"
"231",93,"yes","no",0,109,53.04,100,11,74,9.79,2,2.84,0,"TRUE"
"232",63,"yes","yes",36,110,33.83,111,24.76,92,8.89,6,2.97,1,"FALSE"
"233",100,"no","no",0,96,34.53,126,18.45,122,8.14,2,3.65,3,"FALSE"
"234",53,"no","no",0,97,28.7,87,18.73,113,6.94,2,2.94,0,"FALSE"
"235",92,"yes","no",0,140,29.43,105,20.43,117,10.49,5,2.43,1,"FALSE"
"236",139,"no","no",0,106,22.85,98,17.96,125,8.71,2,2.75,5,"TRUE"
"237",110,"no","yes",40,103,34.44,128,10.1,98,10.57,9,2.43,2,"FALSE"
"238",110,"no","no",0,117,12.67,98,17.07,101,8.65,7,2.65,3,"FALSE"
"239",215,"no","no",0,148,14.21,91,10.28,110,10.2,9,2.89,0,"FALSE"
"240",73,"no","no",0,86,32.67,116,14.33,87,6.29,6,2.54,1,"FALSE"
"241",138,"no","no",0,89,37.43,125,7.51,79,8.79,5,3.48,0,"FALSE"
"242",137,"yes","no",0,95,22.97,102,11.4,81,10.04,2,3.32,2,"TRUE"
"243",36,"no","no",0,77,43.08,151,15.5,103,12.41,2,2.27,1,"FALSE"
"244",85,"no","no",0,81,38.25,63,15.04,110,8.74,2,1.92,3,"FALSE"
"245",108,"no","no",0,99,33.75,60,22.76,75,15.97,3,2.54,0,"TRUE"
"246",22,"no","no",0,107,18.75,93,14.15,96,9.1,5,2.57,0,"FALSE"
"247",107,"no","yes",37,102,10.2,80,8.69,106,11.78,3,3,0,"FALSE"
"248",51,"no","no",0,94,36.52,58,12.72,66,12.75,5,2.75,0,"FALSE"
"249",94,"no","no",0,85,30.91,98,17.2,97,11.07,2,2.48,4,"FALSE"
"250",119,"no","yes",23,114,26.18,137,23.63,112,10.28,4,3.19,2,"FALSE"
"251",33,"no","yes",29,99,26.76,80,10.02,79,12.56,11,3.75,4,"TRUE"
"252",106,"no","no",0,91,35.34,109,14.62,143,8.63,7,3.89,4,"FALSE"
"253",82,"no","no",0,90,35.19,83,19.8,108,7.76,8,2.46,3,"FALSE"
"254",86,"no","yes",41,101,20.23,134,19.55,58,10.66,3,2.57,0,"FALSE"
"255",97,"yes","no",0,117,24.43,82,23.21,81,8.02,3,2.94,0,"FALSE"
"256",106,"no","yes",32,126,28.2,93,18.4,86,7.79,8,3.81,4,"FALSE"
"257",108,"no","no",0,122,23.56,117,14.65,92,10.42,3,2.65,1,"FALSE"
"258",114,"no","no",0,118,14.4,86,21.24,95,8.7,8,3.92,1,"FALSE"
"259",92,"yes","no",0,111,10.64,126,15.35,80,9.98,2,2.81,1,"TRUE"
"260",59,"no","no",0,79,26.38,123,20,80,7.62,4,2.35,1,"FALSE"
"261",24,"no","yes",25,110,28.03,105,17.79,55,10.4,9,1.81,1,"FALSE"
"262",151,"no","no",0,88,22.87,112,12.16,61,10.08,1,4.16,1,"FALSE"
"263",117,"no","no",0,103,24.36,108,17.96,96,8.33,3,3.11,1,"FALSE"
"264",78,"no","no",0,110,28.61,73,18.8,136,10.85,1,3.38,1,"FALSE"
"265",155,"no","no",0,55,44.61,113,16.54,85,6.59,6,2.24,2,"FALSE"
"266",114,"no","yes",30,79,35.05,91,22.1,83,13.12,6,3.08,1,"FALSE"
"267",114,"no","yes",28,94,38.39,117,16.41,100,10.46,9,2.27,4,"FALSE"
"268",119,"no","no",0,89,23.51,78,14.49,98,11.88,6,3.65,3,"FALSE"
"269",64,"no","yes",48,104,16.05,101,11.58,89,6.63,4,1.22,0,"FALSE"
"270",118,"yes","no",0,123,27.2,96,14.91,99,8.32,3,2.67,2,"FALSE"
"271",101,"no","no",0,105,35.12,117,19.12,100,11.25,3,3.94,0,"FALSE"
"272",117,"no","no",0,121,22.9,83,15.3,104,9.04,3,2.08,1,"FALSE"
"273",49,"no","yes",28,78,36.45,100,19.99,107,9.28,13,2.16,3,"FALSE"
"274",139,"no","no",0,104,32.78,96,19.92,101,9.14,3,3.51,3,"FALSE"
"275",92,"no","yes",28,90,25.69,79,16.56,114,10.76,3,2.7,1,"FALSE"
"276",83,"no","no",0,103,37.64,103,19.7,100,5.51,5,2.65,3,"FALSE"
"277",148,"yes","no",0,88,37.21,85,17.68,99,9.15,4,3,0,"FALSE"
"278",144,"no","yes",48,96,32.27,67,10.49,106,9.64,2,1.76,2,"TRUE"
"279",131,"no","yes",25,85,32.76,105,19.2,59,11.44,6,2.94,2,"FALSE"
"280",146,"yes","no",0,135,34.75,90,18.62,114,10.02,6,2.84,3,"FALSE"
"281",143,"no","no",0,97,29.29,108,14.79,119,8.47,4,3.51,2,"FALSE"
"282",81,"no","no",0,93,33.73,108,17.93,71,8.7,6,2.81,2,"FALSE"
"283",48,"no","yes",37,115,35.99,84,13.59,80,6.48,1,3.29,1,"FALSE"
"284",86,"no","yes",28,74,37.67,100,24.51,105,10.81,2,2.43,1,"FALSE"
"285",71,"no","no",0,108,33.64,109,15.43,56,12.66,5,1.81,3,"FALSE"
"286",145,"no","yes",24,90,25.08,108,14.93,102,11.34,3,4.21,2,"FALSE"
"287",137,"no","no",0,122,35.09,102,10.88,84,8.75,5,2.38,2,"FALSE"
"288",137,"no","no",0,88,35,86,17.79,84,13.05,4,3.92,2,"FALSE"
"289",167,"no","no",0,88,35.29,63,11.25,98,11.48,5,3.81,0,"FALSE"
"290",89,"no","no",0,95,51.66,114,22.18,89,14.04,3,1.43,1,"TRUE"
"291",199,"no","yes",34,121,39.2,99,18.65,94,13.47,2,2.16,0,"FALSE"
"292",132,"no","no",0,110,16.92,80,10.97,124,5.63,3,2.62,0,"FALSE"
"293",94,"no","no",0,112,30.11,112,16.49,108,6.6,4,1.59,1,"FALSE"
"294",96,"no","yes",37,93,29.36,116,10.21,86,9.72,5,2.78,5,"TRUE"
"295",96,"no","yes",18,86,29.36,113,11.34,70,11.68,3,2.65,1,"FALSE"
"296",166,"no","no",0,115,34.71,152,15.29,109,9.76,5,2.57,1,"FALSE"
"297",74,"no","no",0,83,14.57,67,21.05,85,6.41,5,2.73,2,"FALSE"
"298",36,"no","no",0,117,26.79,58,15.67,99,10.82,1,3.21,0,"FALSE"
"299",113,"no","no",0,129,36.64,117,18.59,91,9.32,9,1.78,4,"FALSE"
"300",94,"no","no",0,98,30.86,88,16.99,114,12.95,5,1.78,1,"FALSE"
"301",67,"no","no",0,80,29.19,81,9.38,111,8.79,4,3.21,2,"FALSE"
"302",127,"no","no",0,106,45.32,168,22.51,119,9.32,2,1.59,1,"TRUE"
"303",121,"no","no",0,108,28.97,68,29.79,87,13.37,3,3.02,0,"TRUE"
"304",158,"no","no",0,106,26.86,114,24.86,89,10.85,4,2.46,1,"FALSE"
"305",136,"no","no",0,117,15.64,77,21.56,90,9.63,10,2.78,1,"FALSE"
"306",196,"no","no",0,109,39.78,114,21.21,70,7.79,5,2.46,2,"FALSE"
"307",113,"no","no",0,111,46.26,118,22.82,105,9.62,10,2.3,1,"TRUE"
"308",122,"no","no",0,99,50.39,89,18.26,107,6.03,3,3.08,4,"TRUE"
"309",112,"no","no",0,101,33.05,82,16.18,107,8.25,2,3.08,0,"FALSE"
"310",209,"no","no",0,128,38.62,92,21.96,74,8.26,4,2.4,3,"FALSE"
"311",62,"no","no",0,109,42.28,118,18.7,78,11.96,2,3.56,1,"TRUE"
"312",110,"no","yes",38,102,40.17,112,16.65,82,8.26,6,2.62,1,"FALSE"
"313",16,"no","no",0,69,34.95,93,14.41,64,9.9,3,2.94,0,"FALSE"
"314",73,"no","no",0,136,16,122,23.83,77,9.23,4,2.65,0,"FALSE"
"315",128,"no","no",0,99,21.28,107,17.46,111,11.45,2,5.1,0,"FALSE"
"316",39,"no","no",0,158,10.27,120,26.03,46,5.58,3,3.35,1,"FALSE"
"317",103,"no","yes",28,105,20.57,100,22.98,76,7.22,4,2.08,2,"FALSE"
"318",119,"no","yes",29,66,20.03,114,21.83,76,6.64,3,2.05,3,"FALSE"
"319",173,"no","yes",21,96,39.51,118,18.01,102,12.29,5,1.35,3,"FALSE"
"320",128,"yes","yes",32,81,38,74,16.05,101,6.97,2,2.54,2,"TRUE"
"321",86,"no","no",0,79,29.97,97,22.03,78,12.93,3,1.67,0,"FALSE"
"322",114,"no","yes",32,79,21.28,105,15.11,89,10.46,3,3.48,1,"FALSE"
